title,company,country,salary_avg,is_remote,skills_mentioned,skill
BI BA – Business Analyst with Business Intelligence (IT),Nexus Jobs Limited,United Kingdom,450.0,0,power bi,POWER BI
Business Intelligence Consultant - Power BI & SQL,Reality Solutions Ltd,United Kingdom,47444.0,1,"sql, power bi",SQL
Business Intelligence Consultant - Power BI & SQL,Reality Solutions Ltd,United Kingdom,47444.0,1,"sql, power bi",POWER BI
Data Analyst - Power BI,Massenhove Recruitment Limited,United Kingdom,47500.0,0,power bi,POWER BI
Data Analyst – Power BI,Massenhove Recruitment Ltd,United Kingdom,50000.0,0,power bi,POWER BI
Business Intelligence Developer,Staff Selection UK Ltd,United Kingdom,45000.0,0,"sql, excel, power bi, tableau",SQL
Business Intelligence Developer,Staff Selection UK Ltd,United Kingdom,45000.0,0,"sql, excel, power bi, tableau",EXCEL
Business Intelligence Developer,Staff Selection UK Ltd,United Kingdom,45000.0,0,"sql, excel, power bi, tableau",POWER BI
Business Intelligence Developer,Staff Selection UK Ltd,United Kingdom,45000.0,0,"sql, excel, power bi, tableau",TABLEAU
SC Cleared BI & Performance Analyst,Sanderson Government and Defence,United Kingdom,133250.0,1,aws,AWS
Business Applications Technical Lead,Ideagen,United Kingdom,50277.0,1,r,R
Spezialist Risk Data Analyst (m/w/d) Reporting und Data Analyst für Risikoklassifizierungsverfahren,S Rating und Risikosysteme GmbH,Germany,,0,spark,SPARK
Data Analyst (m/w/d),FERCHAU GmbH,Germany,,0,r,R
Senior Data Analyst (m/w/d),FERCHAU GmbH,Germany,,0,r,R
Service & Data Analyst (m/w/d),FERCHAU GmbH,Germany,,0,r,R
Data Analyst für Datenvisualisierung (m/w/d),TvK Consult,Germany,65000.0,0,"power bi, tableau",POWER BI
Data Analyst für Datenvisualisierung (m/w/d),TvK Consult,Germany,65000.0,0,"power bi, tableau",TABLEAU
Data Analyst (w/m/d) - Hannover,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",R
Data Analyst (w/m/d) - Hannover,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",SQL
Data Analyst (w/m/d) - Hannover,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",PYTHON
Data Analyst (w/m/d) - Hannover,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",POWER BI
Data Analyst (w/m/d) - Celle,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",R
Data Analyst (w/m/d) - Celle,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",SQL
Data Analyst (w/m/d) - Celle,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",PYTHON
Data Analyst (w/m/d) - Celle,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",POWER BI
Data Analyst (w/m/d) - Burgdorf,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",R
Data Analyst (w/m/d) - Burgdorf,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",SQL
Data Analyst (w/m/d) - Burgdorf,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",PYTHON
Data Analyst (w/m/d) - Burgdorf,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",POWER BI
Data Analyst (w/m/d) - Wedemark,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",R
Data Analyst (w/m/d) - Wedemark,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",SQL
Data Analyst (w/m/d) - Wedemark,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",PYTHON
Data Analyst (w/m/d) - Wedemark,KIND GmbH & Co. KG,Germany,42500.0,0,"r, sql, python, power bi",POWER BI
Data Analyst / BI Specialist (m/w/d),N.R.Galaxy,Germany,,0,r,R
Senior Commercial Data Analyst (f/m/d),Moss,Germany,,0,excel,EXCEL
Business Analyst Expert Digitale Identitäten (m/w/d),Finanz Informatik GmbH & Co. KG,Germany,,0,spark,SPARK
Business Analyst Banking/IT (m/w/d),Finanz Informatik Solutions Plus GmbH & Co. KG,Germany,,0,spark,SPARK
Senior Business Analyst (m/w/d) im Bereich Business Intelligence / Controlling,Sievert SE,Germany,,0,"sql, power bi, snowflake",SQL
